id;job_id;status_id;submission_status;submission_stage;recruiter_actions;candidate_responses;pipeline_type;reason_for_new_job
1;27925;90768;Optimization;Loan Engineer;Rubber 5th Kansas;redundant;SUBMISSION;ROI synergistic communities
2;80137;14476;Tactics Group Steel;Borders;Drives Arkansas;Rubber;SUBMISSION;Concrete Analyst
3;58678;72219;Books bypass Sausages;Steel Fresh Cambridgeshire;SMS;auxiliary middleware;TAGGED_TO_JOB;utilize Shoes
4;55092;90463;Configuration reintermediate Prairie;optical deliverables;Tenge Keyboard;transmitting Computers;SUBMISSION;Pants quantifying
5;19255;81298;Persistent;maximize;Table calculate;GB;TAGGED_TO_JOB;Interactions
6;61998;45821;Groves Junctions Beauty;up Zambia;Reactive Small;Motorway;SUBMISSION;Enhanced Fish
7;42805;69308;Buckinghamshire sky;Optional optimize SMS;Fundamental override Licensed;Loan;SUBMISSION;Licensed Plaza navigate
8;98741;21354;Connecticut generate;partnerships Mouse cyan;override Fresh;Devolved Taka;SUBMISSION;Cambridgeshire state Assistant
9;4018;94457;intangible mobile Frozen;Points bluetooth Bike;Chair mobile connecting;Account;SUBMISSION;Borders reboot
10;62263;55720;Fork Towels;Concrete Cambridgeshire neutral;Towels Operations;Program Squares homogeneous;TAGGED_TO_JOB;customized Swaziland
