id;candidate_id;city;state;state_code;county;country;country_code;zip_code
1;64197;Ryanfort;actuating;invoice Account Clothing;Enterprise-wide IB bandwidth;Micronesia;DK;91028-4315
2;46203;Huelborough;application Dakota Junction;Tactics emulation;Fantastic overriding;Kuwait;CV;28178
3;9869;Pawtucket;Uzbekistan Peso;Chicken;Money Bedfordshire Berkshire;Djibouti;GG;50624
4;576;Twin Falls;Kentucky connect;Bedfordshire;maximize sticky Direct;Tuvalu;LC;81269-1605
5;6250;Missouri City;clear-thinking HTTP global;efficient withdrawal applications;copying Bedfordshire base;Bhutan;GH;47468-4187
6;61548;Rutherfordberg;Diverse;Drives Metal bandwidth;Pound pixel synergize;Mauritius;MO;81657
7;72049;Dillonborough;transparent;payment Massachusetts;Southern deploy Shoal;Ghana;GQ;90393-0299
8;84056;Helmerberg;TCP;up panel Licensed;generate Hat withdrawal;Austria;MG;71544
9;9782;West Sammiefurt;Future Granite;Loti Centralized;grid-enabled Frozen;Nigeria;SA;00859
10;9671;Lake Ezekielville;Table payment;deposit;silver application;Moldova;SD;76382
