id;client_id;document_type;title;description;document_path
1;33035;black product;bifurcated Robust;Lead;frame
2;36861;Granite De-engineered;payment cohesive;Designer;Tuvalu Silver
3;76855;Licensed optimizing moratorium;online Throughway Licensed;navigating;Automotive Station
4;31011;sky alarm Agent;Practical user innovative;Handcrafted;Account bandwidth
5;42164;purple empower;payment;Fish;Loan integrate Estate
6;49193;Cheese productize Iowa;Pennsylvania black Spring;action-items;Cotton Health AI
7;36586;intranet Checking Assistant;Tuna;Timor-Leste;sticky
8;20140;Orchestrator Refined generate;Steel;Lodge;Global fuchsia Dynamic
9;84962;mobile Operations;Books;payment human-resource;Towels copying
10;93769;Music Dakota XML;defect Brunei;Ergonomic Avon cyan;Jamaica deposit
