id;job_board_id;shared_to_emails;shared_to_user_ids;shared_to_team_ids;max_examils_monthly;expires_on
1;2318;programming calculate Books;Assistant;encompassing;88887;2023-04-03T17:12:01
2;91174;Oval;Central;Lead Group;37287;2023-04-03T23:07:17
3;73133;Data;Harbors Account Credit;District Island;17400;2023-04-04T05:43:14
4;99317;Frozen 4th overriding;Borders;JSON Global Crossing;25242;2023-04-03T20:06:46
5;42739;Granite;Iowa middleware;next-generation Borders Fresh;50175;2023-04-04T04:53:12
6;49115;repurpose;Virtual Romania Soft;RSS Steel;34214;2023-04-03T19:48:52
7;15120;Minor synthesizing Creative;program Lead infrastructures;Bacon;85155;2023-04-03T23:47:25
8;72847;Home Soft;Kwanza Parks Cheese;SCSI Indiana;51610;2023-04-03T19:07:25
9;73210;drive;Meadow disintermediate;Connecticut Kids Plastic;40368;2023-04-04T03:51:30
10;62176;Loan compelling Group;Implementation up;TCP Fresh JBOD;35741;2023-04-04T01:54:13
