id;job_id;attribute_name;attribute_type;attribute_value
1;7002;Tunnel Jewelery West;Single_Value;teal
2;54892;Chips Wyoming;Single_Value;synthesizing
3;60730;Toys Account Awesome;Multi_Value;Lari
4;46599;bypass;Single_Value;white
5;88993;bus program;Single_Value;methodologies GB
6;60415;Metal Tuna;Single_Value;Practical sky e-commerce
7;81038;Concrete;Multi_Value;Rustic EXE heuristic
8;13927;South engineer Wooden;Multi_Value;Senior Direct calculating
9;27439;calculate portal Automotive;Multi_Value;Rupee
10;31186;Applications Cambridgeshire capacitor;Single_Value;Creek
