id;job_id;area;city;state;state_code;country;country_code;zip_code;lat;lon;continent;continent_code;point
1;70436;Federation of;Camarillo;Account;synergies;United Kingdom;BD;84284;12447;79472;blockchains;bricks-and-clicks hacking;cross-platform Cambridgeshire Circles
2;962;Islands bricks-and-clicks;North Johnathanside;cross-media Islands Chicken;ivory;Israel;AS;11035;90736;76268;invoice;Washington contingency;withdrawal Towels payment
3;56753;Tactics green;New Bertrandfurt;deposit flexibility;Director Regional invoice;Mauritania;ET;46887;12632;92279;Branding Agent;circuit vortals;Ohio orange Ball
4;51445;compressing Mouse Borders;South Isac;synthesize synthesizing;synthesize;Lithuania;TR;16188-4759;60383;40976;Managed Cotton;overriding Grocery Garden;Toys
5;74356;hack Diverse;Largo;Borders;Chief Village Fresh;Andorra;NP;77364-1019;81513;14439;harness Granite;Dynamic moratorium;bandwidth
6;33537;Savings Chicken user;Port Lonville;Lempira definition;Strategist Concrete backing;Cocos (Keeling) Islands;BD;99567-6710;99165;32918;Response Leone;state;Executive
7;41342;user-centric;Candicemouth;indexing Account;Chips;Virgin Islands, British;BV;41595;25180;80015;models;Grocery Principal;Frozen
8;97585;primary Games;Kansas City;reserved iterate;seize Infrastructure Exclusive;Northern Mariana Islands;CR;03425;40622;84487;ADP;Ireland Soft Hat;Pennsylvania online bypass
9;12753;projection Oklahoma workforce;Lee's Summit;architecture Pakistan;quantifying Frozen back-end;Turkey;NF;49795;59432;56258;Metal Michigan;Soft;function
10;49865;Manat Baht white;Roobville;supply-chains Gorgeous architectures;overriding Group;Papua New Guinea;EG;25421-4545;28434;96366;Table;mobile overriding withdrawal;e-tailers Montserrat
